period,deposit_facility_rate_percent,obs_status,obs_conf,obs_pre_break,source_record_sha256
2014-01-01,0,A,F,,2bb84dde12cb6b382311a2eec5815437424c75ed8813ad6604915d782d7bb121
2014-01-02,0,A,F,,95909dc920ef3d44fff4a2c4d83029a8a404d551dbe325e024e86f350e8837a5
2014-01-03,0,A,F,,ec732b221c19657675432f3dbaa8ec845375019a5670456a48aec28b4c496393
2014-01-04,0,A,F,,7f6bd098638146b3fe7262147a65648305a95557059af5682b217685569aaa07
2014-01-05,0,A,F,,e50794f47c5852f5a95eed923dd7b0668ef530aee7c48a15ffcf158e2e2c5eb5
2014-01-06,0,A,F,,96c153c7a4fe8a7074b1979d3eeba53147e549fe0c1deda8558ff91a1cf3998e
2014-01-07,0,A,F,,7d80ae93a2b022c044605a57d77dc863bd59543d6850fb8a9bdc403b68c763cc
2014-01-08,0,A,F,,56da8a715b914958fa22cf9cbb3e6cfba9171835ce8e4e70f1b51ab09ca09b0e
2014-01-09,0,A,F,,557cd8cf706101defd7622684b4a2d717b44ee828aa6f5b61cec927a24cb9c04
2014-01-10,0,A,F,,9f948b14e6a8af67279d88f0ee2195f6bce4eca7c0b19d052365f7bdc8eb5352
2014-01-11,0,A,F,,cd3581890377c172a62870fb0deca93c1acc2f07f9707e01997591762c9d617b
2014-01-12,0,A,F,,48e6f33d7266e96d807c535d61b0042bf9193ba42d80289df90444eba7fe119f
2014-01-13,0,A,F,,6d8fc05b355ca773fe5c8bd297c67f93d3b36e716128f2a439de73b04db86c1f
2014-01-14,0,A,F,,cbd9f66a8bbfe23f06c24f211538b9ba1dbe48ee4fcb591278a85bbb5197e291
2014-01-15,0,A,F,,c11b03ab855a98308af49c9c2e0190aa24cce8882bbeda339de47aa1243da19c
2014-01-16,0,A,F,,e83f76f2a374ced81d09fb3899b5b2c945581b85b833f59990c966ade2efbbbb
2014-01-17,0,A,F,,cd4a1e0f03bf385146c64bf9c00cde30b07dd9f574c325c1758fa799d4fa9b35
2014-01-18,0,A,F,,fa2f874609d99271e9b1d6d517f909bef890fdc51f27eade10e7567c12478e19
2014-01-19,0,A,F,,50984e8d53146e229212e621c7868681be0e3a06931e93e11cbd2b20822770f3
2014-01-20,0,A,F,,a91ec70ea77f2a69623098eaadf50bc7e5389ba6a6c2e63c2b405b5cd8cb3ef3
2014-01-21,0,A,F,,4658f8b6a85287bbf0efc8ef5de53b9e7c2022b8eb03d0a67d1b3d6aebbee48d
2014-01-22,0,A,F,,ba6ebf66e6b3d4058d8e0eb162d4f7b815b0fb444458eb6ed68cbd61b57a0c52
2014-01-23,0,A,F,,06a2db3c8632347ea515465815ce3042a8f42b8c5932a43171545beba8fcd892
2014-01-24,0,A,F,,0c8cb6860be6fc9e6654e9a9f5f6b939498f37b432a38a2b7bf37a8bdbc9fcca
2014-01-25,0,A,F,,effc224fdf30f74b1964c953fb65430e8a55432b8f01fcc3082aa32b4d242228
2014-01-26,0,A,F,,2992a0bdd7a302ed9552d315cffb719e110abcde4d6b1368d7eccfe12540165a
2014-01-27,0,A,F,,c7184dd45c16ca944fe442afcd74294d51fa352595dc919f65322ce679d4e14a
2014-01-28,0,A,F,,b46c812a538f775af75ac94092f569009e56bb32694f697dcc6982d72ec0f079
2014-01-29,0,A,F,,171b81eda0ed88d14411ee5bd0decdaeacdcdbeade8ac1e103bcbe737a89e99c
2014-01-30,0,A,F,,1b8efe704f77a89833eecad3d1671d66674a31fb75b872c3a579bb1735e72f28
2014-01-31,0,A,F,,7d8597bab5bd07e64c206e34ebc1c2337b27cbe3e04bdfbea15735184da40ade
2014-02-01,0,A,F,,8b8d8d9f8bc18b95af1eeb42fe2e09c5a60f9f1de95d2cb9272d57440bd97953
2014-02-02,0,A,F,,d63893181ec5a31e1607a8dea3994610869d6ac32b2d9c5f9eb8edadbfa4f186
2014-02-03,0,A,F,,5a1afa74ac84b02f3b98a6ccc124e73477947459edca6f612df835d096ef8470
2014-02-04,0,A,F,,a8b6c2db64eb528b6dbf61ef4bb610e841269a97849f023073bf5cb753ddeff1
2014-02-05,0,A,F,,6f6637659f13589bce5d7c823d4f09840469f270c70d5f4df882b5b00e02c915
2014-02-06,0,A,F,,87c4088e9bd64ecb7fe4e0b173b149dcc4a6a90ed5150a2b0ae5a9a32855fc18
2014-02-07,0,A,F,,ad615eecb9d0c0895a518d2eced338883aa60dcf37a56086288d57a76ddc56a8
2014-02-08,0,A,F,,342a8b61b6ccd8a2c4f742b15fd579dc838718917a9b1426abfe60d317ec5d33
2014-02-09,0,A,F,,531f77d5fd69a62f9745db71cfe86dcf8808ecc442c954f8f44a0f8563982be4
2014-02-10,0,A,F,,562a3ac5955143563ee3d9e99ca3fd2a65ab502880bc50c890b01ef8d510c98d
2014-02-11,0,A,F,,48f63321f2f5b9cfa24493a07a60af45db1aa809c79a785257b2b64a7152d6d9
2014-02-12,0,A,F,,3262d813f771e3384fb5c509ce052c9e3d05cbab90862a9f6b86798b72b4b9cb
2014-02-13,0,A,F,,2b9ddda51ad83a1e624cd7bc105aadebf6edf0be1256233ce62cea0572b03d0a
2014-02-14,0,A,F,,4d2cc5efe3fbc74f78ec24888ca3e2e7014a1ee6602e1ab818ee2af6f011295b
2014-02-15,0,A,F,,61c9a4438fdffc5f1b3e93f96e24eada5a915baa9b9baba279d3c95c93fbccab
2014-02-16,0,A,F,,7ccf8064c3419f5765034e93e9c42f926996796ccfc9acecacd37030ad0c3a7c
2014-02-17,0,A,F,,1b8315a2fec12f9ed98e2fa0160e9230a4d7240a1944d6fdafff6641eaf157ae
2014-02-18,0,A,F,,caf4dbbe5e69e181a9845f81fd8ebae71e17ce9c7570e82f8e077626983203cd
2014-02-19,0,A,F,,605cb798652dc3dfc9d9174f627bafae5c00b9bea1f73d31394bcb695b827295
2014-02-20,0,A,F,,ed4b2e94dfe7bfa37b86d6dae186643f8ecf540ec15467fa2a6c95c9a7d27284
2014-02-21,0,A,F,,111f3e72c3649ea5d045413ffb6f40bad44d3fc90b178b38216437675c23bd7a
2014-02-22,0,A,F,,6eb2c2f48232ccc2661cc1fb911e01ef706880af7f5bda7d8a495a949bfcc490
2014-02-23,0,A,F,,94032c710b83a6dd12dd576636d31d35ea4e7ac1986cead0f2fb39c2cbff348c
2014-02-24,0,A,F,,5eb1e6ad7e707739bd36dc4b1595adb4d9f9878a16636a541fd2229aceca29ec
2014-02-25,0,A,F,,275de5fd193886083a3b80d3d5674ef1099c23697fb00bec4972f6abfe6dec6c
2014-02-26,0,A,F,,955adbbf3648bd8485ae214032e261d317463d57bb8936ea89b718c97e856f3e
2014-02-27,0,A,F,,c1944207618cadf2c1b169936c870a7f8dcc2681c99cf7db81063e3c246d673a
2014-02-28,0,A,F,,a8864c7c2bdd69521423fbff079d09d4cf14685d58e3fd89e5c5570598e9c60b
2014-03-01,0,A,F,,c4cf10f6be81d87f6048a5ce89d57701b1d55b5a1bc5326087b092fc08ce6dba
2014-03-02,0,A,F,,bbea38c960c556a14ddf7adf91402722d8a794c71f93677ce415867236bca912
2014-03-03,0,A,F,,83eeb8c1ec3709bea2046ad9192dfa5ec4b325ba2d3157dfa49789f95f73acdc
2014-03-04,0,A,F,,270905c581354d715c66de61bd3641b0bccfd13d91185231b1a8ac8970c3ad5a
2014-03-05,0,A,F,,4b452e71ada6beb880660cc1643b6fbfb86cccb970a329194c6718adc8be9fbb
2014-03-06,0,A,F,,496b7c19db6c3ec8a8dab02aa439ee3d09dc0b985462bc413eb9d8766d2524df
2014-03-07,0,A,F,,84211495a03b777e72c97e25a4c4776b31b9c963da35571f43ed1c7e21a99e6f
2014-03-08,0,A,F,,28c066a320e46f6dd356bf69865218d7fc90ff7ca8d531095b13032feb284780
2014-03-09,0,A,F,,2bf9d526727a7d59aa11298549722a3d0279ad75f60d2c09179df59d7d3428dd
2014-03-10,0,A,F,,7c0c2cd69c8a36b925ef3373295d36df8260892d34454872eaaed4ba1a17653a
2014-03-11,0,A,F,,747a882ee41808784ab93077cfe09cc302be18ff00f993e72c81c228907ae924
2014-03-12,0,A,F,,f4f575ef8f91f7ecc1820190177643f5e0d55955e61a9b85812a4d323cfab632
2014-03-13,0,A,F,,452242066e5cfd806d363e72fcb2ead1e2e43b58beafc33493abf60b43ba469d
2014-03-14,0,A,F,,a1ca238e8c14e00ecb64bb2c355925467669559c9482696a2c1889335d76bcab
2014-03-15,0,A,F,,72e707e4cf2758caa72fccd93ad9b5ca40f34aa4714c9bdbcda4a6764eb32c5d
2014-03-16,0,A,F,,54ed2409358cd5867e0b705c18384af3f5ec906ae8458f035968369cdaa29246
2014-03-17,0,A,F,,cade4d92bdf0d2bb4572cb183a5cade7bc3786b592617129078a03fc167c3a1a
2014-03-18,0,A,F,,8b557e5051b18940b8feaf759e427ff54bf0a00eadef82ac527e98f3d34d19af
2014-03-19,0,A,F,,82b66790554ecec488a8f1b1d994e192df07cb6b264b62d9d2b7be650fddb151
2014-03-20,0,A,F,,cca47a01e964ed9a6aa9fc3621be319e283b0cefdac2967376fca2ddcfda9b98
2014-03-21,0,A,F,,8076f59655f637cb17bdf5e542009e2374c5932b79205db4c5cdebc10478b15f
2014-03-22,0,A,F,,917c47ba6eb605932bc528460f709eac9e9fe9ba5ab0a66b71cd9f5f98dd7709
2014-03-23,0,A,F,,03d89fcbfb86b48da0abe4b62da37a6c303510d6bb0dc6de2aef60fa233aa946
2014-03-24,0,A,F,,7012fdc2c4f4f2cefd42d438ce10f09f3ff798943d5cc752455481c663512a46
2014-03-25,0,A,F,,35d79ecfda0e51b8cd33a573bcb051662cbaaed348adbe3f16e6a9ffef59adcd
2014-03-26,0,A,F,,16a0a3a47be3f5c47760510b1acd1851875923dc1526e359a0c356e91c9e4ad5
2014-03-27,0,A,F,,ba725eb7cd9053a74615ed0df1c8bf198167d1ce846989f5c911c181a7a35034
2014-03-28,0,A,F,,4f169d6a437c45b682fbbbdc22b4dc47a54bbff7dc435635c97115d36338def8
2014-03-29,0,A,F,,7ab63d837406c5bba922f25c69796d9313e54a220b0deec46cb9315eca264aef
2014-03-30,0,A,F,,66bf5098872ae091f62863855855a48e02ffab23e8a59770f6a445eedc6d46f9
2014-03-31,0,A,F,,d51f47371a70566ffced9930ff61b3158d65f9f18feb21830000928b7e3fdd22
2014-04-01,0,A,F,,7f6f344f841e2f81a0ee98eb2e88c34f21f4368fad0ca6d99322131526b829af
2014-04-02,0,A,F,,f10f1f69dd36e96c337c32836c775a301f4ff3831307974eb692623230ed4ba8
2014-04-03,0,A,F,,228dbcb5554873429137a22deba9765e40c76892b7844e61472eafc72d5ef411
2014-04-04,0,A,F,,bd583add56c7d72d21849522c52857405b3c6bf496903b551f5066b54aaae712
2014-04-05,0,A,F,,772d50546c6589577c3e0b834af27ec90a9f2db4384b927089f3ee54c6ebc791
2014-04-06,0,A,F,,655b38ac05f3b3c49f29e546b3db92fd13be38c31dff7161fabff96f7002698d
