period,ref_area,cli_index,obs_status,source_record_sha256
2001-01,A5M,99.54823,A,99e5355f34ed586fbbd6e8f58ca5661a3487fa4c69da919f44d9bf4b6011944f
2001-01,AUS,98.96711,A,0e7b86d711e8799ddb31c9aff9c882759078734c5f8ad63cd366ba196e15039a
2001-01,BRA,100.7237,A,2f675b2c71b6f2aef7f9e951872f94865c561371e16a219d61046cb503dfc06b
2001-01,CAN,99.08986,A,34520ac126595d09e3f47935be3c4703a87bd993219162f448156775d3871ac8
2001-01,CHN,98.70747,A,00c31b8c992b950be1048e00ca286229ae64c7896458cccec734445c026821cd
2001-01,DEU,101.0828,A,54229a9ec8f3b9b363aa56b00c9929361765666e4fbe67e57cdc5cff86951a1e
2001-01,ESP,101.2297,A,f97e8cb9ba258be8429fe79ee2623ef81a1a54c5decdc5643eb270a28494578a
2001-01,FRA,102.2769,A,f4688abcb50486700897b0b3b2f4e57eedfd4b32fe63551f18fe5ce1337a6e1a
2001-01,G20,99.72859,A,8ae52cf268a21e06b10141133a427603fbadae590ac07a25643dec2817720c9d
2001-01,G4E,101.242,A,165af8d2982a0872518d0cd39f8cd864149559203cf47f678d19318ff299a850
2001-01,G7,99.81992,A,be9b915b9f4d529aacfb72b51eb8e5a78b39109507f01284c4b1048652bb6bf9
2001-01,GBR,100.6325,A,a718e5cb965a4ed40f066bb67c0b2a409776b693edfb2493a1771e1405757211
2001-01,IDN,98.75738,A,63d0dff6fd22e23afa05d99b1f707c15b67a84406a7e9de37c40e389b98c9646
2001-01,IND,101.2815,A,09dfbb5a613cb975a67f139a9fdce367b003ae81fe47ce37371bcbe69b2e8255
2001-01,ITA,101.1541,A,65b1a7a9a0b68cadde807100a0b15823d7e1bc6b954017791e077023cba16e7c
2001-01,JPN,100.1676,A,d285273e99a1b4d91d2ff0301c61cb6d2385c8a12a81dddbd5385382a960de69
2001-01,KOR,97.69291,A,68ba295d740b7b44f9eecbe5b15b0c6bd14e1b92c42c6fd8ce3fe823759f1d2e
2001-01,MEX,100.5877,A,94be33507bab0e4811ed26781a8849c429df21c59ab1cc5d443dceb500650931
2001-01,NAFTA,98.99583,A,369fcbaf1f81f09b6694a41f0b03f192f6a2a58be49b8d17deff56654dd82ab8
2001-01,TUR,95.36682,A,0bf1f7665697b7428d5a1d839f863bf9ccd862e40fd652cd87db6ca41a76a1af
2001-01,USA,98.78654,A,c7d0ce28c3bd8b3497358c733dafa00f9690ed8510b8f4a7a9f9813f3cbc0231
2001-01,ZAF,99.9893,A,3232128c1a246e45344e2401de21f25b741cce14a21dc4018a907f0fbe634a26
2001-02,A5M,99.35635,A,57c7554d5a404fa4f97488b3bf35ccfb8871d58ed2adf2d052de5624df709cd7
2001-02,AUS,99.13459,A,707037c0dd6718a7a4872eedaa176a6cb6de5c52d399a1eac809f383e45db3c7
2001-02,BRA,100.558,A,0aa7f16e77208848be8ea6faf77e7b4bb37821677f2e7b385326628c66b4d13c
2001-02,CAN,98.8036,A,cd3e24cd9f79c11e6bc46fd2781c894889df885fbad8f3cbe9412eabcb9ff50b
2001-02,CHN,98.67078,A,83aa323c9a78a46d2a10699309a221b999220624559f26f0a7c0dd5a1065283a
2001-02,DEU,100.6373,A,c65bd740252e54a850e29c23e5480dbdba2791dbeab651f212575bec34eaf54b
2001-02,ESP,101.0327,A,3bc8ad1f09979d8c79261d35edf55f4a6647b60ece167b01637522b85d4ce854
2001-02,FRA,101.9983,A,70f1589771f6cd7aa1fe6a464562b9396a681e12dc9fb5d06dc21e8d6af12322
2001-02,G20,99.46475,A,603cddd47c0139abe6e9f8f2f65c2c0fed9e0b248d7fa6efab9491a45bfe769c
2001-02,G4E,100.9821,A,1b7448af961a3a77960d513877e77f45b438a4ce33175a5ebc3b0ca1e7b66b8c
