period,base_rate_percent,source_record_sha256
2006-01,3.75,c4b7168780f6f33116696e2ab7ea4586b53e5822a88d9b384bf5f14b38461e2e
2006-02,4,21e144967f456a858702c4ff2b86b59117f50f148c0fa3886982ba05682d641a
2006-03,4,f16676b768916df7aa21fcdb2bb53a3818ecbd7832d179ca76ab779963f4d3ce
2006-04,4,964e00a1bed219e95dc23cef7be8888386c6021174aaa993c6d4c0fe6a9eac29
2006-05,4,f7d77131e3593642e5b2f84504b99bd8eb0bfff3270faa19485ebf4efe53432f
2006-06,4.25,ab8beabf8a0b65b53e8b371acd44df8d8a76d387d443935dccdbb6e393a4b08b
2006-07,4.25,45223afc64d258829986e2bc1cb0a0388fd563cc80ea9ae223ec4e1d05b34fc0
2006-08,4.5,6b8486019eff4352bd4e66f59f838e447a69c99baf2c4d8abd8e4f97d2afcc2f
2006-09,4.5,9b61c92163bee68b7432130a1e174f2131735ea13eaa1a39548439b8789aa1c4
2006-10,4.5,018194728fd291e15808b52b2d16a9f9451958817aca0581beda68d1c1fd0faa
2006-11,4.5,c69dbc0f926c72d87936b28fe2074624c25864b3825f253c9dfe90e567daab23
2006-12,4.5,d4db46dac0b36a078b0643188e6a1b44dccc67f683f2e860c9a3e9d53556d0e5
