period,stock_thousand_barrels,source_record_sha256
1994-01-07,316593,7071603a3590f192c79c0efc2110e31e3a379214733de14c20f69fc3c19ce2c0
1994-01-14,316399,7785c65c9f6d5b47087ce7abc4330b845c90fb11438495583d240120dd0bc514
1994-01-21,310921,8067bd2f4bd198a446d3ac1ffaaea938b5900597ac846ad031a9beb0a7e93c31
1994-01-28,314011,9bb47d931e5623dc5a3af25b8d195bb5b293936dc9bc7275e808359b3a25e1d0
1994-02-04,317837,83718f7da6978c02cf7379715207136a992dff4e2b7d3448eb76c4a8b59442fd
1994-02-11,313482,9472a614952fee218498de9e9ddf8de2e114d5913262b78896d0584bed37027e
1994-02-18,316510,bcd87e82dd1505d887eb639f811d8f4314b1c310da32d54a16bd3743c4ba2af6
1994-02-25,309328,4ae32294e587cf5a8f81c17110f1433ab000054b6bda90d24631d145398b1cb4
1994-03-04,316945,fdc457e8ce0e49054f80ed1da9b2599dd04f30d72ec50f5fd6869de119853788
1994-03-11,311869,d3733986ee4b515317d4ebffc3e97815d7cf98a5db1db3ff15f056700c760db7
1994-03-18,323772,d13f2b66650780f8673e01e9a6af81102573e3ebdac8ad85528831d457019e83
1994-03-25,318641,1756b404ddc691c1f903b9e03f085aa575d33c255e3c42f79a3b1bc99a9adcf9
1994-04-01,318717,157c3937ce85a8a53bdfc9d21830d00b8e1bed60720ab348863d40c0bd3e477c
1994-04-08,319232,202a7d2ba8ccabc03c4e12af9aa81494a4bc5e71909dbbe596be6ced37563e1d
1994-04-15,321163,87a5611ebc72170baee0ff0bf280982906666dd447cf2efb078e822e9b97629f
1994-04-22,321241,709d7a0b47143775461e1dfe84b079897ae91e7fde124186ebde9e39aa402a7c
1994-04-29,322151,88be09c1f0b24301db655a8b95edb11733300b2c74883c1f66311e6b0fe4d86d
1994-05-06,316458,9988f3c9fb476b9b2180418c9e7219a191a2cb037df3827e4abe554c2ee3c8ce
1994-05-13,315520,1893a593f4a51bca584f0ffde503f0babbe772dd84e443316f1808d8e0870364
1994-05-20,317174,5bcff5b8036409fb5693c81859beae8582a375aa533ff23efc70a8f05e755768
1994-05-27,316080,fc3bd0b591cdb5b1e79025de540ab113c10b6bd3c732e4c32db9775b1b2ce99f
1994-06-03,311596,a9a3174a8ed40a623fe745db9c172d6c7e2bdc3be44a510473d00cdb86b8c023
1994-06-10,308787,c1bf400e5913295af68efc25a85df237c3fb01466d407f36fa15139a640ddb68
1994-06-17,307220,c370bac9d152b72250c061473ee6d3106a1a774b48562fbb3caf8ce8560ac269
1994-06-24,310699,8aecc7bd993c7b132b7af47ae61714f46bb0b722e995d4fd4bb28ff6cd8d577c
1994-07-01,311642,a910fb51a17714b4a33e30a5ed123f63f858337e4326097428ccb98633b6cbf4
1994-07-08,311816,3fff37c91c5ddc291d1fec10c86ed81398c66ad8ea1361a140cf23443a134958
1994-07-15,314998,d07fd577d7848b0ed0a314f08566cfa0358f3607ae0fa586603265ed33370d9a
1994-07-22,318255,7f76bbe68d11f0a1fc68cb44184fba8d89c7508cf8e22c909a3fd8bfecf888ff
1994-07-29,312403,68ceae4c332a7e3cfd2b8e57b8dcf2b8cd4518c73fe969b7dd979e055dd55558
1994-08-05,309883,054b56eb989602e5b777be551f7225c2cd3df8acd11071d70001320147baf091
1994-08-12,312998,15bf9e98970539dd17174fd5f83f7f045f8fe46b20a569cddee7c21495fb7312
1994-08-19,310161,dd16237697fc86f6331bf23b3667198c5882094e2a51448981949cb5d4294a6c
1994-08-26,307717,64b7059e96534c5a3cded85c9b67a435d27f504760ed47cc9f3f42c4a82e6857
1994-09-02,307532,f3451eaeb2cc0c84e237ae7b523a269e7f4f042bcb766338016574ad8b7ebb49
1994-09-09,307270,7ffb2083c25c9715cef16f421992e988da0441bbbdac1c28eca5116158f12f5f
1994-09-16,308725,c202b53a3d6fe40f9afa45d3f1f1fcc5ba2f8874ba0de201eefabc09c9bb5b4c
1994-09-23,314620,04558cbf68c8ffea958c49837d2c2d48f9b411aba75b9ee0cd18c1efafbb82bd
1994-09-30,317891,2491950a7a4dcbbeac4bff7573bba144d94cf3b77bd4965a16890ac2bf24d14f
1994-10-07,316959,f51893e5848a43156e735b156c5ba1ef1c06fcbea96fe204456dd29dce60543c
1994-10-14,321399,c0b94b35ac51f4d884ea457e62da3f5ce95542dfce9d9c296b37b03707f4ea68
1994-10-21,319570,9ed52c68e41eed4ca29670dbea2f7d81d3a51c33692b4067fc6ef98e1d10f4d2
1994-10-28,328905,da717606df94b9604e9c95f54689be9ce49984496695023303554e51db28982e
1994-11-04,327917,09c3a063510731e4b34fcc85f4bef85cb7bd10d22194dd71622a73ef7e424a23
1994-11-11,327189,3350304697f669fdd947d1c2090d6d273e873519392930dea667702179763bd2
1994-11-18,324211,ff083f6876adb781c276103767ef4877ee6eb61fbc250655e86ff0f915bf21f9
1994-11-25,321739,706ca5bc6c45c2622f8daccd730b2512315ecf8f88e2e73e0ca40f075b1cb714
1994-12-02,321693,01e439d25af66a9212fae8483577076b7ebd5b1764600ac9a187ebf28cda4270
1994-12-09,320205,e7b0e9bd70cdce7b4da6383ab6f6f9b369dca117d2d983a04d8359df2988bd15
1994-12-16,319550,aaa26b0c3c7c6d71f9239f35106200b13173d4516b7b01cabccb49ab028bd5a1
1994-12-23,320236,6c335456bc5ec5a0a6a887a02b1108283309ca7e7375535b5af54a90911682ab
1994-12-30,312846,3bfa3cf87450075966e74adec11a057cb244055797c233d499f408e2653f69bf
