period,debt_held_by_public,intragovernmental_holdings,total_public_debt_outstanding,source_line_number,source_record_sha256
2010-01-04,7803905887172.98,4486332271084.15,12290238158257.13,1,08816a4f8f5fa204608706b0241db487e4530f729de92c57eb1edfd65318833f
2010-01-05,7804260234037.82,4499040691664.36,12303300925702.18,1,ed2b654865c59a98f585da3814ca0bd7db99ceffdd83174f8d3916829b3c0a89
2010-01-06,7804384050405.01,4497696109558.00,12302080159963.01,1,548490fcb9d60e5824927ba752783c98a7ec68509f621ecadda837c1858f4c38
2010-01-07,7781593099593.51,4499252181924.08,12280845281517.59,1,a4c42730aa30562322ca8b7bee040534ad204c04d079c43e498267fe78043500
2010-01-08,7781415376435.24,4499189221410.27,12280604597845.51,1,a952988a85cc59e96f9dda77f60d6d40507313daf7868433c6da41c70b84287a
2010-01-11,7781189167268.88,4504295178518.44,12285484345787.32,1,8614c929275be9d63b50176096b2954400ca1231893c0d3390f38a12626a82d4
2010-01-12,7781352915790.80,4509815618402.92,12291168534193.72,1,d22199fe04b0d2c0da3e2ad171b21c94262d7cdca8f750432f7fab064724a412
2010-01-13,7781208589623.65,4501065422048.54,12282274011672.19,1,9f067fd3c0fe218b3d139e3dd76f2eebcecf8a1a9524075ba75c95d9073d20bf
2010-01-14,7756103310941.48,4502441717973.76,12258545028915.24,1,f83e4ca9b34861f832626a46db9a34fe6e7e7a99a07c305b447d9cb72b226109
2010-01-15,7813183812102.39,4506142657622.04,12319326469724.43,1,02bf465acc54b84eee7210ea7272d13a6f808229afc9bbe3b787c261a1130def
2010-01-19,7812890993527.48,4509216598825.48,12322107592352.96,1,9cde5dd865c40ad7016184265328df09c68e4ecb2e5645b60c4849f0ef0d81ef
2010-01-20,7814389191716.30,4512991612980.52,12327380804696.82,1,d349b3490453fe431c8cf20e0fb2a02e2248ab92a1218ff821087edcf536fe84
2010-01-21,7783227771568.19,4516935476476.50,12300163248044.69,1,35d2a851574c54ed77d389a69ed1992e7b7190f3c1ae0bdaf83ad3ccbd483bb6
2010-01-22,7783157721690.45,4519307766226.89,12302465487917.34,1,5f8cecaec844e77c23146273b25ea9b5f23705ad7fcaff0326b9f61fd1892d32
2010-01-25,7783116255564.44,4520620231004.01,12303736486568.45,1,ba37c9d3d03dbe925a7cc8206288b1c8be76dec14983a89236f87e7223e7e8ce
2010-01-26,7784089436840.31,4524797067961.63,12308886504801.94,1,361954fca5dd94aabb99728a092f9f5444b0fdab6e0b2ab6187449d6acf1b4c6
2010-01-27,7784152852860.25,4517619468177.79,12301772321038.04,1,f07c2e3f5eccccc41f666d4a0c20c39d0f378d298f3b5b7df29d0aff929ba62a
