period,sofr_percent,percentile_1_percent,percentile_25_percent,percentile_75_percent,percentile_99_percent,volume_billions,revision_indicator,footnote_id,source_record_sha256
2019-01-02,3.15,2.3,3.1,3.29,3.7,1092,,,f140e4cfc3d42f39a5c50b5f3385945bc39c457443b40ee2a73eb724cae0d6ca
2019-01-03,2.7,2.3,2.7,2.78,2.89,1063,,,0620306f8af139bb342e1da676634f5e601300b56f596936955228b01ec86d16
2019-01-04,2.45,2.3,2.43,2.51,2.6,1041,,,16f3c725e26360a28c8fc56fdecf1d470192e59ed7e898eb58240a2bfd424021
2019-01-07,2.41,2.35,2.39,2.47,2.54,1052,,,2f9fa9318854fc3b892d715cfd0fcc8a6fcf84320efaa9ae6713202964a32fc9
2019-01-08,2.42,2.38,2.4,2.5,2.55,1070,,,2fe1559cc0d012f2748f57c3a50a08ba1e29f3153abb7e002bd634d36f247d5e
2019-01-09,2.45,2.3,2.44,2.52,2.59,1032,,,a4c20dfdba9b5afe741955e77bbcbecaea28f3538bb98c26e43db0d43a28bdf8
2019-01-10,2.43,2.37,2.41,2.49,2.56,1026,,,0394e5cac36ba6eb4db3cc407fcc02f0ed510fc261b3965ac26caf71176bc1f6
2019-01-11,2.41,2.35,2.38,2.46,2.52,973,,,31f7162c893feb13ab97db7dce290fe5f1903862cdf83fb9803c6c49f8e6793d
2019-01-14,2.4,2.34,2.38,2.46,2.53,977,,,87354042979c46b07485a53342a72f5188ae36817f70ee48d7fbf791d36bc3ee
2019-01-15,2.46,2.38,2.41,2.5,2.56,991,,,b20c57ab536875549a8364c90b06a61cd657232ca80df4ca2853eb16af322a73
2019-01-16,2.43,2.35,2.37,2.46,2.52,988,,,b297bfa31a7cdbd083906a4203e0cc330ec7f2edcc30e114a980bb63c1bd3327
2019-01-17,2.41,2.35,2.37,2.46,2.52,969,,,09ddfb762e93a10f2b11cc1b61dc58376542aad4f4b703acb0e90f04710d6ef7
2019-01-18,2.42,2.34,2.37,2.46,2.52,974,,,a86ea6530c8653dffa2f0e4ec885545eb660a17132e1cc9f73886f0f7d9a0125
2019-01-22,2.41,2.35,2.37,2.46,2.52,967,,,0b88e45bcef524cca5431e3e6824e3ef2bb052f2a33c7566b7ac3e7a73acabc7
2019-01-23,2.4,2.35,2.38,2.46,2.52,956,,,bd8b27b9e585d37b2ee0314257e73a5c5f78a822bead42d0bf84eaa4ee3392b9
2019-01-24,2.41,2.35,2.4,2.48,2.55,994,,,4f52ba8f0bd2e967f01a0d532dfb6fdb0c92674664ebae4af2f331b2192ffd64
2019-01-25,2.4,2.34,2.38,2.46,2.53,915,,,5bbfe191d2cb2c8550ee401126e6e6b4a7a571092d99efb8d157a51cafbf8d9a
2019-01-28,2.39,2.32,2.37,2.45,2.52,981,,,ae6d08d51e8f0cb781c338aaf73a3b4ecc8f861333edb514f0aba2b5b1099970
2019-01-29,2.4,2.32,2.37,2.45,2.52,934,,,4f98c546e81103d52337ebae594556e1d328d876f3dfe08a7b0cec23fa2e6a99
2019-01-30,2.39,2.35,2.36,2.45,2.52,948,,,383d30a9cb333241ce41a538cb220835b60876b4fff860b26b7194cf9e1b0394
2019-01-31,2.58,2.3,2.55,2.65,2.85,1048,,,6e8ddf3fcaea63bf47b18980c5bf9eedad9f79c43e2c311c5f4bb172dd5457e7
2019-02-01,2.47,2.3,2.44,2.52,2.59,993,,,f7193253d6512eed86c9c948209f235529dcae5a8dc567eb0afc634e14dd7e47
2019-02-04,2.4,2.3,2.38,2.47,2.53,964,,,a8fbedc0ded6ec442bffd9bc8660036dad372d847be731d782edb8f5e9fbbb2e
2019-02-05,2.4,2.34,2.37,2.45,2.51,932,,,34964a9139ad1edf2a67e686e7c1886dc819a3c46029733ca23f06624c6517df
2019-02-06,2.38,2.33,2.35,2.44,2.49,942,,,92f279960c9cb186a3d7ea9a81807e4116e01245e60b318630465c7471320c47
2019-02-07,2.38,2.34,2.36,2.45,2.51,918,,,4e5cac172568f9001d22772436cad7086efd4f73b4997aea5121efa34f9e34c3
2019-02-08,2.37,2.33,2.35,2.44,2.5,912,,,6a35fd69c93b1b33840ce0c1c7344a36a1133cdd640dd97533545b033337dade
2019-02-11,2.4,2.35,2.4,2.48,2.56,984,,,a03979667f99b54599cecccb69b47f6441f806d917f4c89ed76dc20ec8e63686
2019-02-12,2.39,2.33,2.36,2.44,2.5,920,,,f7f46e90dc21de1d78be726308f9d9466d54e59d1f5a2a33e3bd2a14fbbcd10f
2019-02-13,2.38,2.34,2.36,2.44,2.5,928,,,372ffc85d76631662de5faa3d9458e3b8ab33fda985d7b2c9d021437219d4d1a
2019-02-14,2.39,2.34,2.36,2.45,2.5,862,,,4e91fd0f7b88f6c8acd382da011eec6084ee5e3891f33754460b771a1bca8da6
2019-02-15,2.43,2.38,2.41,2.49,2.56,913,,,bc0ecb4644d7dc967d3b054b99becea37874449fd79d6f57bb52b9c06a941573
2019-02-19,2.4,2.35,2.37,2.46,2.51,941,,,d1d47990819f827305a3ae6daed165d15ce213a097d9fdfa5a3da1577c8bb727
2019-02-20,2.39,2.34,2.37,2.46,2.51,913,,,f10d421828ed534af8d3686de7ee7a4a179aa827791dd696296e759f87f37da5
2019-02-21,2.39,2.34,2.37,2.45,2.51,886,,,11c2f4fd99af0c52aed92485df04be48afff4bf55ef1c1f261a2375804ff2e00
2019-02-22,2.4,2.34,2.37,2.45,2.51,894,,,ed8de68c852353827f81cb9cdb81b1f4a77f545a7e301406b012daefc62b8832
2019-02-25,2.38,2.34,2.37,2.45,2.51,938,,,9ff32e83770c7df0c85d971ff3cb0964f9310f780aa2ed0ccaf2d11b16e5027f
2019-02-26,2.38,2.34,2.37,2.45,2.51,919,,,1cad94ef5f59b0d4ccfc72ff58915e9e2c8a2ebfa0f9948156ab3eb190a7ff97
2019-02-27,2.37,2.34,2.37,2.44,2.51,898,,,e45ca6d238b5e50d1d5dcce2c0cc12421940cf9af2b2b40d37e5f8b443214996
2019-02-28,2.58,2.35,2.55,2.64,2.82,1003,,,98fb8dfd25bde921ba0e458c2b15afe148b6d8b86a4cfebc91765a3183442186
2019-03-01,2.38,2.35,2.36,2.45,2.52,1007,,,44940c4bd3f735105e9e8c92dee1ef90e5d3355baa5c865ac88e15fab7d7d579
2019-03-04,2.38,2.34,2.36,2.45,2.51,965,,,81e02d066272b4b4935bdf422eddb51204c3b20676a2254d1c70d3e98aa7d6eb
2019-03-05,2.38,2.33,2.36,2.44,2.51,956,,,8215441a2f58adb5bb70781e8df677b0d825ef0021e1aa8ed8add1673c51dd2e
2019-03-06,2.38,2.33,2.36,2.44,2.5,977,,,644164df5715b6d6e46fb539e3bdf0ee1599dde808120554c07dd66973ab6b60
2019-03-07,2.38,2.34,2.37,2.46,2.52,972,,,7477c67cd73448460d860da081e6af18272eb1076cd09a4e13f15ed17df0651e
2019-03-08,2.39,2.34,2.36,2.44,2.51,954,,,c435d11a9019c0f11466575a3b28b773bb19b72e6e4b7b27ac2bb77ea1b57a7a
2019-03-11,2.38,2.35,2.36,2.45,2.51,949,,,f92928538b81b007feffd586cee3e7b09bdbc0caa9ea2c46de81c692afdcb797
2019-03-12,2.39,2.35,2.37,2.46,2.52,916,,,241417a6cdab3d506ea75993b6e01b6d909335baad59e02f728db321b55d73ac
2019-03-13,2.4,2.33,2.38,2.46,2.53,925,,,90621063bae244089e6aafebe4fb7acba5b529117e3b80e84b9ab2b216132a9b
2019-03-14,2.42,2.36,2.39,2.47,2.53,879,,,247813d0d96ea49840bdc01818b49256d5bd4def6cd2b135ec212e2a9d2951e3
2019-03-15,2.46,2.4,2.43,2.52,2.59,940,,,7fbe30c1c95d858063c5e16064aa432f4ee37aeec1ef3404f296fba412c6b26d
2019-03-18,2.41,2.35,2.38,2.47,2.53,942,,,f5939cfca6bdcf23e65116fa731fe51da20ade68e37116e9c72021f57d680c15
2019-03-19,2.42,2.38,2.4,2.5,2.58,945,,,9320c4c0755e1ddc5f20d9a90df84d73c996ec4c72207e30ae678479762b3dc5
2019-03-20,2.47,2.4,2.46,2.54,2.61,928,,,940c33b705dae442f1d8497e37105d8848b4c0d80ec38b3fc4c5b0b6dc5b55c8
2019-03-21,2.44,2.39,2.42,2.51,2.59,921,,,185f1671ad3275a5231606c61751cf940dec5e0a64cd23ebe000ae2d4d205931
2019-03-22,2.4,2.35,2.38,2.46,2.52,889,,,5cbe8d026e9dc48b6ac8122c037b5581faadb80a4680dfc6b230f870f964e9de
2019-03-25,2.4,2.35,2.37,2.45,2.51,919,,,1327655470cb8d7b774a680ee4f682c89b5ecd02dd6cc03e0a25ce5da23c1ab3
2019-03-26,2.4,2.35,2.37,2.46,2.52,901,,,5989cdceb5e1eb9f16216c349dc10f3a14dd813995efe0cc550a546a46b260e7
2019-03-27,2.4,2.34,2.38,2.46,2.53,879,,,934f2a683601c754b2246a3722a6d6150f76d8fbe47afdf4cf67654eebd637cf
2019-03-28,2.43,2.34,2.42,2.5,2.58,898,,,025f4edd57b15d24330bbcff229d7ee9f3deb794bfc352d794937d110eaa5923
2019-03-29,2.65,2.4,2.56,3.18,3.7,897,,,5184a9d0db323f2e93374a2c9a8dfb0258f3787bac95979627fe3d8489593c67
2019-04-01,2.46,2.4,2.41,2.51,2.67,978,,,5f2842d65e11c3ee001485679306d72c2245e0981be221ce21b2794947f08cfc
2019-04-02,2.46,2.4,2.43,2.53,2.61,978,,,8173068fd1db436c1225a771d58031756b1a34284fdd320b0fb33bd734aa9ed1
2019-04-03,2.47,2.41,2.43,2.52,2.58,987,,,9b171b430689ed460d43698e7ad667d2dce04baa9e4ecf6b967881610469ce68
2019-04-04,2.46,2.4,2.43,2.52,2.58,1000,,,7c39f8ef564991ffe10274ef8598f7649adbc5ba40be0b067da1afce2e42872f
2019-04-05,2.46,2.4,2.43,2.53,2.58,976,,,1487644e7d9be5ca1084413d30119f968a4f0e68596320d98f0a7d48547e2f93
2019-04-08,2.46,2.4,2.43,2.52,2.58,949,,,aa90c1282df38adcd09a31e0c4e8b7d18859c648efbfe4d4affd6d30d1c3619c
2019-04-09,2.45,2.37,2.42,2.51,2.57,970,,,89fdaa7bb74f6469788f77691557cfd09b240a943082460622c9a5acabcff1b4
