period,index_value,observation_status,footnote_codes,footnote_text,source_latest,source_record_sha256
1968-01,34.1,available,,,false,b9491cd693ca02ebef90bcc00d713c6dccb68194986ec8d161c1feaf87bebb50
1968-02,34.2,available,,,false,268b50f543057d24385e8d0061f1595a13b83166fb97b050d18acfe4c25e399f
1968-03,34.3,available,,,false,2f8f12ce436636bb936477530ce2673b597b0e7af6cc640f3f18e35ea54ce0ca
1968-04,34.4,available,,,false,8c15c4775e58b7aa810967b7decc448e2217c8e3d600bf9bafc81abcb23f208f
1968-05,34.5,available,,,false,21bc7de8b97978ece416e349948dbbbbf169761d588c9f7a481b713c5e582a48
1968-06,34.7,available,,,false,32ea6d9a3dc22390f826473e2b349ec39ffbefd147d28dcba390dfffdffbf04a
1968-07,34.9,available,,,false,545678f6bbe33849381f255645d400168abb1c68983ab5bab1ea84608f274a68
1968-08,35.0,available,,,false,3e02ae041d61e6d592d4bf66bcd36ab05985050ac1e297016025a9d32c5e0866
1968-09,35.1,available,,,false,f7d468ba65751ce061d5c927c8a3a570d73fbde2b7f8652584f229ebe9867dd7
1968-10,35.3,available,,,false,d68ad9724215caf454391ac4f95a1c744e35999d053d6686b86ec8664d63bb84
1968-11,35.4,available,,,false,1fbc7baea405b32718200c24f010e7093564a77a1632bbf8553e6e6449d39ebc
1968-12,35.5,available,,,false,d3c0a115b2bf4bcaa25cdec9cbe68b6000ee451f0078378d9f77107266019757
